epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,600.268,1.46674,1.06374,1.10118,0.71397,0.37546,0.40032,0.19419,1.48454,0.8923,1.09581,0.00333221,0.00333221,0.00333221
2,1187.09,1.48073,0.95703,1.10475,0.66497,0.35738,0.43675,0.21137,1.47165,0.91797,1.09373,0.00650058,0.00650058,0.00650058
3,1769.27,1.52553,1.01291,1.13333,0.52155,0.32775,0.37782,0.17601,1.55761,1.16075,1.15217,0.00950394,0.00950394,0.00950394
4,2350.33,1.53518,1.01108,1.14349,0.52622,0.37628,0.41221,0.20464,1.47097,0.96078,1.11725,0.0092575,0.0092575,0.0092575
5,2930.95,1.49126,0.95797,1.12543,0.70321,0.4311,0.48304,0.24896,1.43496,0.88957,1.09478,0.00901,0.00901,0.00901
6,3511.69,1.45903,0.91184,1.11208,0.75644,0.44023,0.49652,0.25708,1.40403,0.83114,1.08667,0.0087625,0.0087625,0.0087625
7,4092.35,1.44055,0.88613,1.10025,0.69727,0.48015,0.5184,0.2718,1.38488,0.79919,1.07698,0.008515,0.008515,0.008515
8,4672.85,1.41175,0.85743,1.0888,0.75821,0.47528,0.54127,0.28395,1.37988,0.79119,1.07123,0.0082675,0.0082675,0.0082675
9,5253.65,1.39695,0.83842,1.08273,0.74531,0.50331,0.55476,0.2936,1.35897,0.76786,1.05741,0.00802,0.00802,0.00802
10,5834,1.38335,0.82142,1.07821,0.75115,0.50187,0.56457,0.29799,1.34794,0.74894,1.05341,0.0077725,0.0077725,0.0077725
11,6413.99,1.36861,0.81081,1.06976,0.77969,0.51375,0.56855,0.30858,1.32705,0.73896,1.04513,0.007525,0.007525,0.007525
12,6994.23,1.35626,0.79503,1.06788,0.79969,0.51812,0.58704,0.3188,1.31997,0.73111,1.04118,0.0072775,0.0072775,0.0072775
13,7574.31,1.34185,0.78405,1.05871,0.77397,0.55053,0.61062,0.33023,1.31349,0.71307,1.03952,0.00703,0.00703,0.00703
14,8154.78,1.33207,0.7707,1.05801,0.77618,0.54511,0.60671,0.33237,1.30033,0.69599,1.03481,0.0067825,0.0067825,0.0067825
15,8735.46,1.32254,0.76181,1.05203,0.76165,0.5588,0.6159,0.34014,1.28189,0.69384,1.02813,0.006535,0.006535,0.006535
16,9315.95,1.31088,0.75125,1.04799,0.79427,0.55939,0.62145,0.34286,1.28304,0.67891,1.02554,0.0062875,0.0062875,0.0062875
17,9896.11,1.30016,0.73949,1.04537,0.80718,0.56209,0.63877,0.35064,1.27123,0.67086,1.02399,0.00604,0.00604,0.00604
18,10476.8,1.29128,0.72906,1.04245,0.79101,0.56838,0.64552,0.3541,1.27424,0.66144,1.02384,0.0057925,0.0057925,0.0057925
19,11057.2,1.28448,0.72417,1.03723,0.80591,0.57423,0.65604,0.36013,1.25352,0.64977,1.01546,0.005545,0.005545,0.005545
20,11637.9,1.271,0.70943,1.03592,0.82072,0.57097,0.65898,0.36495,1.2476,0.63805,1.01441,0.0052975,0.0052975,0.0052975
21,12218.6,1.26631,0.70647,1.03135,0.80619,0.5834,0.66094,0.37011,1.24016,0.63476,1.00769,0.00505,0.00505,0.00505
22,12799.1,1.25988,0.69936,1.02903,0.8047,0.6057,0.6713,0.37686,1.23687,0.62865,1.00777,0.0048025,0.0048025,0.0048025
23,13380,1.246,0.68808,1.02198,0.82127,0.61357,0.68264,0.38275,1.22522,0.62147,1.00201,0.004555,0.004555,0.004555
24,13960.1,1.23386,0.68085,1.01859,0.83107,0.61164,0.68541,0.38773,1.21964,0.61596,1.00183,0.0043075,0.0043075,0.0043075
